,ITEM_CODE,MO_NAME,SPECS,USE_NAME
2381,Y00000000113,大扶康注射液**,200mg:100ml,静脉滴注
2396,Y00000001171,复方消化酶胶囊,复方*20粒,口服
2397,17955,茶碱血清药物浓度测定,,
2422,19566,抗环瓜氨酸肽抗体（抗CCP抗体）,,
2445,F00002206651,鼻窦冲洗,,
2488,20506,半身红外热成像检测（8部位）,,
2493,F00002228736,鼻塞导管OPT844/费雪派克,,
2499,Y00000020090,凯彤注射液#,2ml:10ug,静脉注射
2529,17718,前列腺二项,,
2538,17374,腰骶椎MRI平扫,,
2549,Y00000000117,地塞米松注射液 #&,5mg*10,静脉注射
2558,16179,酶八项,,
2579,F00002212015,康复评定,,
2592,Y00000001620,万爽力片**#,20mg*30,口服
2593,F00000180026,一次性引流袋,,
2599,Y00000020191,盛西凯分散片#,(7:1)*12,口服
2601,Y00000007A01,党参颗粒一方(单味自费),相当于饮片10G,冲服
2613,Y00000020039,别嘌醇片(世贸天阶) &#,100mg*100,口服
2615,Y00000018963,云南白药,4g*1瓶,口服
2626,Y00000000673,葡萄糖氯化钠注射液&#@,500ml,静脉滴注
2629,F00000180062,螺旋接头,,
2641,Y00000007F68,竹茹颗粒一方,相当于饮片10G,自煎
2650,F00002204438,雾化吸入(超声),,
2653,Y00000001921,可多华缓释片*#,4mg*10,口服
2665,Y00000018793,羧甲司坦片(霸灵)#,250mg*12片,口服
2679,Y00000018892,红景天,6g,冲服
2682,16138,尿β2-微球蛋白测定,,
2697,Y00000007C02,陈皮颗粒一方(单味自费),相当于饮片6g*1,冲服
2700,Y00000018863,泮托拉唑钠肠溶胶囊(U比乐)#,40mg*7粒,口服
2720,Y00000000998,静安注射液**,50ml:1g,微泵静注
2727,Y00000018573,多索茶碱注射液#,10ml:0.1g,静脉滴注
2731,F00002204366,吸痰护理,,
2734,Y00000020227,50%葡萄糖针(四药)&#@,100ml:50g,静脉滴注
2748,19769,25-羟基维生素D,,
2749,Y00000000352,潘妥洛克针**#,40mg,静脉注射
2754,19766,抗心磷脂抗体两项,,
2795,Y00000020062,水溶性维生素针(星妥惟),1瓶,静脉滴注
2797,F00002224032,动脉采血器/安全型（BD）,,
2827,Y00000001868,合贝爽缓释胶囊 ,90mg*10,口服
2846,Y00000018117,党参(单味自费),10g.15g ,煎服(代煎)
2848,Y00000019109,为力苏片**,50mg*20片,口服
2868,16119,结核菌培养（鉴定）,,
2874,Y00000020212,去乙酰毛花苷注射液#,2ml:0.4mg,静脉注射
2879,F00002228155,可来福输液接头MC100（透明型）,,
2917,F00000180070,引流管（一次性负压球）,,
2919,Y00000018706,奥迈必利缓释胶囊 ,0.25g*10粒,口服
2935,Y00000000093,尼可刹米(禾丰),1.5ml:0.375g*10支,静脉注射
2941,Y00000004897,甘露聚糖肽注射液(多抗)&%,2ml:5mg,静脉滴注
2947,17122,血培养二项(需氧+厌氧)+药敏一项,,
2955,17770,皮下注射,,
2956,Y00000019026,乙酰半胱氨酸片(富露施),600mg*4片,口服
2957,F00002207384,常规心电图检查,,
2962,Y00000009990,天龙咳喘灵胶囊,0.3g*42粒,口服
2976,Y00000000310,硫酸镁注射液 #,10ml:2.5g*5,灌肠
2983,20766,涎液化糖链抗原（KL-6）,,
3009,17575,上腹部（肝胆胰脾）螺旋CT平扫+增强（造影剂另计）,,
3011,Y00000019933,口服补液盐Ⅲ &,5.125g*6袋,口服
3012,Y00000000812,古拉定针**#,600mg,静脉注射
3021,Y00000020075,多巴胺针(国瑞) #,20mg,静脉注射
3030,Y00000018916,米乐松针#&,20mg,静脉滴注
3041,Y00000001614,万艾可片,100mg*5片,口服
3067,F00002204404,门诊静脉输液,,
3088,Y00000007A12,黄芪颗粒一方(单味自费),相当于饮片10g,冲服
3104,Y00000019887,美罗培南针(舒罗克),1.0g,静脉滴注
3117,Y00000001396,制霉菌素片,50万u*100,外用
3132,Y00000002100,万托林吸入气雾剂*#,100ug/喷200d,喷雾给药
3134,Y00000018145,倍他乐克缓释片**#,47.5mg*7片,口服
3136,F00002205073,胃食管返流显象,,
3138,17686,生化八项,,
3162,16189,总前列腺特异性抗原(TPSA),,
3168,F00002220214,静脉留置针/贝朗22G,,
3173,F00002213494,面罩（BIPAP鼻罩+头带）,,
3177,21086,普乐可复血清药物浓度测定,,
3179,17819,全身PCT,,
3183,Y00000000120,波贝注射液&%,10ml:100mg,静脉滴注
3185,F00002218177,透明敷贴（IV3000）4630/10X12cm/施乐辉,,
3187,Y00000000891,氨甲苯酸注射液,10ml:100mg*5,静脉滴注
3192,F00002206680,纤维喉镜检查,,
3205,17104,甲功五项,,
3209,17867,尿肌酐,,
3212,Y00000002251,惠菲宁溶液(成人),100ml:840mg,口服
3214,F00002204431,中换药,,
3217,Y00000000872,人免疫球蛋白(pH4)(武汉瑞德),2.5g:50ml,静脉滴注
3224,16186,生化六项（海印）,,
3235,Y00000018702,安利博胶囊#,150mg:12.5mg*10粒,口服
3255,F00002226696,植入式输液港留置针/美国史密斯,,
3284,Y00000002280,思力华吸入剂**#,18ug*10粒,吸入
3291,Y00000018904,脾氨肽口服冻干粉@,2mg*5瓶,口服
3292,Y00000020050,艾思瑞胶囊*,100mg*54粒,口服
3298,Y00000001364,妙纳片*,50mg*20,口服
3303,Y00000019895,赛可平片#,0.25g*40片,口服
3305,Y00000019779,诺新康注射液,2ml:10mg*6,静脉滴注
3313,Y00000018211,诺和锐30(特充)**#,100U/ml*3ml,皮下注射
3319,F00000180222,艾贝尔压力延长管（旋塞）,,
3327,Y00000008832,茯苓,10g.15g  ,煎服
3342,Y00000000895,天普洛安针,10万u,静脉注射
3345,17301,泌尿系彩超(加肾血管),,
3361,F00002224814,耐药三通(带延长管)(贝朗),,静脉滴注
3364,Y00000020113,去乙酰毛花苷针(海普)#,2ml:0.4mg*2支,静脉注射
3393,16321,血清铁蛋白（FER）,,
3401,F00002219914,输血器/龙心,,静脉滴注
3427,F00002204035,膀胱冲洗,,
3431,17551,双侧颈内静脉彩超,,
3447,F00002212261,其他推拿治疗,,
3453,Y00000000038,(欧泊)两性霉素B针,25mg,氧气雾化
3457,22266,凝血五项（海印）,,
3458,17339,临床操作的B超引导,,
3493,F00002204355,特殊疾病护理,,
3507,F00002235235,一次性呼吸回路/白色单管套装/东莞永胜,,
3521,Y00000019977,倍能针,1.0g,静脉滴注
3523,Y00000018577,奥德金注射液,10ml:0.4g,静脉滴注
3524,21047,G试验及内毒素二项,,
3525,Y00000001880,欣康片#,20mg*48,口服
3528,16135,胸水生化,,
3539,Y00000019904,达美康缓释片*#,60mg*30,口服
3545,Y00000000470,特治星针**［—］,4.5g(4g:0.5g),静脉滴注
3569,Y00000019925,人免疫球蛋白(泰邦静丙)*,2.5g:50ml,自注
3586,F00002204372,会阴冲洗,,
3594,F00002207338,睡眠呼吸监测,,
3598,Y00000020081,喜炎平注射液,5ml:125mg,静脉滴注
3599,Y00000002105,普米克都保**#,100mcg*200喷,吸入
3602,F00000181122,PX260爱德华动脉测压套件,,
3606,16117,真菌培养及鉴定（每个取材部位）,,
3628,18544,门诊（静脉）血细胞分析,,
3637,Y00000019663,裸花紫珠片,0.5g*36片,口服
3640,Y00000020109,左克注射液@,0.1g:2ml*6,静脉滴注
3649,F00002218302,一次性流汁喂灌器50ml （鼻饲灌食器）（灵洋）,,
3655,Y00000003142,喜辽妥膏**,14g,外用
3661,17946,地高辛血清药物浓度测定,,
3665,19507,床边多导联心电图（急诊）,,
3667,Y00000019639,蒲地蓝消炎口服液,10ml*12支,口服
3686,Y00000007F69,桂枝颗粒一方,相当于饮片6G,冲服
3697,F00002217891,尿袋（贝朗精密尿液储量器）（BRAUN/沃美）,,
3703,Y00000000663,10%葡萄糖注射液&#@,10%*100ml,静脉注射
3707,Y00000019932,卫可安肠溶胶囊#,40mg*7粒,口服
3721,Y00000000721,甲氧氯普胺注射液&,10mg:1ml*10,肌肉注射
3733,F00002218262,双腔中心静脉导管（7FR*20CM）（箭牌）,,
3734,F00000180037,硅胶吸痰管(一般),,
3742,Y00000001291,乐松片*,60mg*20,口服
3745,17247,肺灌注显像,,
3747,17578,双肾+肾上腺螺旋CT平扫+增强（造影剂另计）,,
3767,F00000180186,BIPAP面罩（鼻罩＋头带）,,
3786,F00002204412,静脉高营养治疗配置,,
3790,Y00000019587,来适可缓释片*,80mg*7片,口服
3794,Y00000018724,钙尔奇D600片*#,复方*30片,口服
3798,Y00000009046,抗病毒口服液,10ml*10支,口服
3809,4896,头颅(MRI)平扫+增强,,
3819,Y00000008006,申捷注射液,2ml:20mg,静脉滴注
3832,Y00000020241,多索茶碱针(安思平)**#,10ml:0.1g,静脉滴注
3834,16104,常规药敏定量试验（MIC）,,
3840,Y00000001363,沐舒坦片**#,30mg*50,口服
3864,Y00000002073,妈咪爱颗粒*,1g*15,口服
3879,18905,纤维胃十二指肠镜检查(电子镜),,
3881,F00002230455,3M透明敷贴9546HP,,
3890,F00002220371,血糖试纸/稳豪/广州器化,,
3898,Y00000018791,蓝芩口服液,10ml*12支,口服
3915,Y00000001255,氢氯噻嗪片#,25mg*100,口服
3955,Y00000019783,特尔津针&,200ug,皮下注射
3992,Y00000001097,氯硝安定片 #,2mg*100,口服
4008,Y00000007C21,桃仁颗粒一方,相当于饮片10G,冲服
4010,Y00000000386,吡柔比星针&%,10mg,静脉滴注
4019,Y00000019090,佳维体混悬液,500ml,鼻饲
4020,Y00000008321,桃仁,5g.15g ,煎服
4029,Y00000019565,缬沙坦氨氯地平片(倍博特)#,缬80mg:氨5mg*7片,口服
4043,21353,血小板聚集试验（ADP诱聚剂）,,
4074,Y00000020145,兰索拉唑肠溶片(君丹)#,15mg*14,口服
4083,Y00000000012,人血白蛋白(贝林)G(限工伤保险),20% 50ml:10g,静脉滴注
4097,16182,代谢六项,,
4105,F00002231256,一次性使用泵用输液器/M46441000费森尤斯,,
4135,F00002205022,超声计算机图文报告,,
4147,F00002233455,一次性使用静脉营养输液袋/全EVA 3L/江苏康进,,静脉滴注
4150,19628,成人哮喘/鼻炎专项IgE变应原,,
4168,Y00000001134,康迪欣片,0.25g(相当于181.3mg)*6,口服
4171,F00002204427,特大换药,,
4176,F00002215201,人工气道压力滴定试验,,
4202,Y00000019756,伏立康唑片,50mg*10片,口服
4222,17865,血糖（2小时）,,
4244,Y00000000301,双氯芬酸钠注射液,2ml:50mg*10支,肌肉注射
4253,F00002228735,加热呼吸管路900PT501/费雪派克（呼吸机回路）,,
4254,F00002212723,佰通营养输注泵管（针式）,,
4266,F00002218363,双旋接头延长管L3002/白色360度,,
4273,F00002204656,磁共振平扫(1.5T以上)(腰椎),,
4307,Y00000020047,通达注射液&,1ml:10mg,肌肉注射
4311,F00002204437,雾化吸入(氧气雾化吸入加收),,
4315,Y00000001084,日夜百服咛片*,0.5*12,口服
4318,F00002224294,一次性使用防逆流引流袋,,
4324,F00002204445,注食、注药、十二指肠灌注,,
4325,Y00000000718,岩舒注射液&,5ml*5支,静脉滴注
4328,F00002218297,一次性鼻塞（人工鼻）PX-100/570/015,,
4345,Y00000001533,消脱止-M片**,25mg/400mg*50,口服
4376,Y00000001659,希舒美片*#,250mg*6,口服
4383,Y00000001368,弥可保片*#,500ug*20,口服
4387,F00002233706,皮肤防护处理160（压疮预防、失禁性皮炎皮肤发红无破损）,,
4402,F00002222565,一次性呼吸机回路管道RT340/进口,,
4403,Y00000000821,奥德金注射液,0.2g:5ml*5支,静脉滴注
4411,Y00000018142,阿拓莫兰片#,0.1g*36片,口服
4415,19084,(3.0T)胸部MRI平扫,,
4424,Y00000008355,醋五味子,5g,自煎
4431,Y00000018564,参松养心胶囊,0.4g*36粒,口服
4447,Y00000018338,格华止片#,0.5g*20片,口服
4501,F00000181127,延长管（扭迪西亚瓶装泵管）,,鼻饲
4516,Y00000019784,特尔津针&,150ug,皮下注射
4554,F00002212293,烫熨治疗,,
4563,Y00000004842,吗丁啉片&#,10mg*42片,口服
4579,19747,甲型流感病毒及乙型流感病毒核酸检测,,
4590,Y00000019567,尤文注射液#,10% 100ml:10g,静脉滴注(肠外)
4596,Y00000000893,普乐可复注射液**,5mg:1ml,其他
4611,Y00000018685,罗亭针&,5mg,静脉注射
4614,17103,性激素六项,,
4624,19247,快速血气分析,,
4630,Y00000008124,生地,10g.15g ,煎服(代煎)
4643,Y00000001779,威凡片**,200mg*10片,口服
4648,17479,鼻咽螺旋CT平扫(只有横断图像),,
4700,17476,副鼻窦螺旋CT平扫+三维重建,,
4715,F00000180223,硅胶管（引流管）8号,,
4729,Y00000019651,茶碱缓释片#,0.1g*15片,口服
4737,18545,末梢血细胞分析,,
4740,Y00000018777,优泽片**,5mg*7片,口服
4747,Y00000000394,伯尔定注射液**&%,150mg:15ml,静脉滴注
4748,Y00000001271,安博诺片 #,150mg/12.5mg*7,口服
4754,F00002211955,气压治疗(肢体正负压治疗),,
4766,Y00000019578,捷诺维片,100mg*14片,口服
4768,Y00000001058,肾上腺色腙片,2.5mg*100,口服
4775,16404,腹部正位,,
4779,F00002228656,预冲式冲管注射器10ml（导管冲洗器）/山东威高,,
4781,Y00000007E23,麻黄颗粒一方,相当于饮片5g,冲服
4790,Y00000020079,爱赛平鼻喷剂**,10ml,喷鼻
4801,17412,头颅MRA,,
4841,F00002233718,创面促愈处理100（10cm以下(伤口部分皮层缺失未累及皮下组织)）,,
4855,Y00000001596,舒敏缓释片*&,100mg*10,口服
4870,Y00000001547,思诺思片*#,10mg*20,口服
4894,Y00000019880,速碧林注射液*#,0.4ml*2支,皮下注射
4912,F00002206398,验光,,
4930,Y00000008673,夜交藤(首乌藤）,10g.15g ,煎服
4932,Y00000018609,培美曲塞二钠(赛珍),0.2g,静脉滴注
4970,Y00000002244,斯皮仁诺口服液**,150ml:1.5g,口服
4975,Y00000001191,易善复胶囊*#,228mg*24粒,口服
4995,17097,肺部细菌感染血清抗体二项,,
5003,F00002204373,床上洗发,,
5006,17277,肾上腺B超,,
5012,F00002218315,一次性输液器（双钢针）（威高）,,静脉注射
5042,Y00000000743,力能注射液*#,20%*250ml,静脉滴注
5049,F00002204374,擦浴,,
5062,Y00000007H35,猪苓颗粒一方,相当于饮片10g,自煎
5063,Y00000000118,右旋糖酐40葡萄糖注射液(瓶装),500ml,其他
5070,Y00000008523,麻黄,5g,煎服
5071,Y00000018728,凯纷注射液,5ml:50mg,静脉注射
5117,F00002218311,头皮静脉留置针Y型20G（威高）,,
5165,18430,甲型流感病毒抗原鉴定（直接法）,,
5175,Y00000000153,亚宁定注射液**#,5ml:25mg,静脉注射
5224,F00002207333,无创辅助通气,,
5233,Y00000020078,尼可刹米针(海王),1.5ml:0.375g*10支,微泵静注
5236,Y00000008112,黄芪（北芪）(单味自费),10g.15g ,煎服(代煎)
5244,Y00000001152,地高辛片 #,0.25mg*100,口服
5261,Y00000019796,盐酸万古霉素针**,50万单位,静脉滴注
5273,F00002213404,胸腔穿刺置管术,,
5315,Y00000004908,美司钠注射液&%,4ml:0.4g,静脉滴注
5339,F00002220497,糖尿病足护理,,
5353,Y00000018889,丽珠肠乐胶囊 ,0.35g(含0.5亿活菌)*10,口服
5356,Y00000007C70,莱菔子颗粒一方(单味自费),相当于饮片10G,冲服
5365,F00002212021,贴敷疗法,,
5374,18651,胸部支气管动脉CT造影+三维重建(造影剂另计),,
5380,Y00000007F32,厚朴颗粒一方,相当于饮片6G,冲服
5448,Y00000020105,阿昔洛韦分散片(东信),0.1g*24片,口服
5449,F00002213282,常规心电图检查(十五导联加收),,
5495,F00000180265,一次性腹带,,
5530,Y00000019674,标准桃金娘油肠溶胶囊(成人装)**#,300mg*20粒,口服
5541,Y00000019901,仙力素针,1.0g,静脉滴注
5551,Y00000000596,思他宁注射液**#,3000ug(3mg),微泵静注
5552,Y00000008831,神曲(建曲),10g ,煎服
5567,Y00000019516,维C银翘片,1片*24片,口服
5577,Y00000020205,奥拉西坦注射液,5ml:1.0g*6,静脉滴注
5583,Y00000001233,葡醛内酯片(三才) #,100mg*100,口服
5628,F00002218300,安舒妥静脉导管固定透明敷贴 6*7CM,,
5633,F00000180154,中心静脉套件（微导管鞘）,,
5635,Y00000019751,芙必叮分散片,5mg*12片,口服
5681,17283,胸水B超定位,,
5694,Y00000018757,康莱特软胶囊&,0.45g*72粒,口服
5707,17934,糖类抗原CA125,,
5765,21250,儿实T细胞亚群,,
5793,Y00000001662,再普乐片**#,5mg*28,口服
5804,Y00000000449,善宁注射液**#,1ml:0.1mg*5,微泵静注
5827,Y00000001708,优思弗胶囊**#,250mg*25,口服
5828,17420,MRCP(MRI),,
5835,Y00000000111,注射用顺铂&%,10mg,静脉滴注
5870,Y00000001723,迪赛肠溶片,15mg*12,口服
5893,Y00000001486,罗盖全胶丸*#,0.25ug*10粒,口服
5895,Y00000018898,姜半夏,5g.10g,煎服
5898,F00000180081,一次性简易雾化器,,
5925,F00002204501,健康咨询,,
5946,16185,肝功七项（海印）,,
6009,Y00000020140,盐酸昂丹司琼针(北大)&,4ml:8mg,静脉注射
6010,Y00000000034,可达龙注射液*#,150mg*6,静脉滴注
6030,17062,肝功五项,,
6033,F00000180185,BIPAP一次性呼吸机回路管道（带水杯）,,
6041,Y00000001646,扶他林缓释片*#,75mg*10,口服
6055,F00000181262,头皮留置针（Y）型330407,,
6066,Y00000018355,(巴泉)氨甲环酸氯化钠注射液,100ml:1g:0.7g,静脉滴注
6082,Y00000020063,欧爽胶囊#,0.1g*6粒,口服
6104,Y00000001548,赛乐特片*#,20mg*10,口服
6123,17603,下腹部螺旋CT增强扫描（造影剂另计）,,
6173,F00002204973,四肢血管彩色多普勒超声,,
6186,Y00000000138,力太注射液**,20%*100ml,静脉滴注(肠外)
6214,Y00000004921,硫酸长春地辛针&%,1mg,静脉滴注
6240,F00002206462,裂隙灯检查,,
6241,Y00000000679,优维显注射液*,370mg*100ml,其他
6256,Y00000019754,泮托拉唑钠肠溶片#,40mg*7片,口服
6290,16241,脑电图,,
6293,Y00000000163,门冬氨酸钾镁注射液&#,10ml*5,静脉滴注(肠外)
6302,Y00000001615,百士欣胶囊&,10mg*15,口服
6310,21986,septin9基因甲基化检测,,
6325,Y00000001008,别嘌醇片 &#,100mg*100,口服
6394,Y00000018776,艾诺吉针,0.1g:0.032g,静脉滴注
6418,Y00000018687,健朗星胶囊#,0.4g*24粒,口服
6425,F00002226076,一次性使用延长管/一通/KDL,,
6432,19768,血管炎两项,,
6434,F00002207427,心排血量测定,,
6450,Y00000018409,可定片**#,10mg*7片,口服
6453,Y00000007A28,黄芩颗粒一方,相当于饮片10g,冲服
6485,Y00000001936,罗红霉素片#,0.15g*6,口服
6495,F00002220366,负压引流机加收,,
6503,Y00000000711,健择针**&%,200mg,静脉滴注
6505,17092,肺肿瘤三项,,
6530,17847,静脉抽血,,
6568,Y00000019941,阿托品注射液,1ml:0.5mg*10,静脉注射
6575,18945,(3.0T)头颅MRI平扫+增强,,
6586,17089,营养四项,,
6620,Y00000019569,小牛脾提取物注射液(斯普林),2ml,静脉滴注
6622,Y00000007A91,石菖蒲颗粒一方,相当于饮片6G,冲服
6627,F00002204383,中流量给氧,,
6645,F00002218415,一次性使用无菌硅胶导尿管/维力,,
6657,Y00000008303,瓜蒌皮,5g.15g,自煎
6671,Y00000001120,克拉仙片*#,250mg*8,口服
6689,Y00000018520,多瑞吉透皮贴剂**&,4.2mg*1贴 (5贴/合),外用
6702,Y00000019171,0.9%氯化钠注射液&#@,1000ml:9g,静滴冲管
6745,Y00000019900,地高辛片 #,0.25mg*30,口服
6774,Y00000018694,奥先达针&%,50mg,静脉滴注
6776,Y00000007C03,瓜蒌皮颗粒一方,相当于饮片10G,冲服
6780,22166,24小时动态血压监测,,
6803,Y00000000763,日达仙针**&#,1.6mg,皮下注射
6817,F00000135931,进口去白细胞过滤器(血小板型),,
6884,Y00000001742,凯莱克林分散片,75mg*12,口服
6934,Y00000009513,骨通贴膏,7*10cm*16贴,外用
6941,Y00000018919,地佐辛注射液(加罗宁),1ml:5mg,肌肉注射
6945,Y00000019843,(丁齐尔)雷贝拉唑钠肠溶片,10mg*14片,口服
6962,F00002221457,密闭式防针刺伤型静脉留置针(飞玛),,
6995,F00002204283,住院诊查费,,
7032,Y00000018374,20%甘露醇注射液(袋装),20%  250ml:50g ,静脉滴注
7055,Y00000018345,易维适胶囊#,0.2g*12粒,口服
7070,Y00000001065,便塞停片,5mg*8,口服
7080,F00000181641,一次性带囊氧气面罩,,
7087,Y00000019538,安可欣针 #,1.5g,静脉滴注
7144,Y00000018612,注射用伏立康唑(迪尔达宁),0.2g,静脉滴注
7148,Y00000019155,拉司太特胶囊%,25mg*40,口服
7156,Y00000008503,青天葵,5g,煎服
7183,17414,心功能成像MRI,,
7226,Y00000001600,达喜片**#,500mg*20,口服
7241,22126,TH1/TH2细胞因子检测,,
7314,17344,B超引导下胸膜活检术,,
7318,Y00000006072,唯嘉能针#,0.5g,静脉滴注
7328,Y00000019238,茶碱缓释片#,0.1g*50片,口服
7346,Y00000019572,脾多肽注射液,2ml,静脉滴注
7380,Y00000019974,甘复能针**#,0.5g*5,静脉滴注
7388,F00002211978,吞咽功能障碍评定,,
7393,Y00000019786,胸腺法新针&#,1.6mg,皮下注射
7416,20006,抗中性粒细胞胞浆抗体（cANCA、pANCA）（金域）*,,
7442,Y00000019561,(益康宁)前列地尔注射液#,2ml:10ug,微泵静注
7469,F00002218592,红头干燥真空管,,
7470,Y00000019628,新康泰克缓释胶囊*@,90mg:4mg*8粒,口服
7479,F00000181360,RT212呼吸机回路,,
7491,17316,双侧颈动脉彩超（包括双侧颈总、颈内、颈外动脉）,,
7496,Y00000019767,亮克#,48.0mg*5贴,外用
7552,17764,纤支镜取痰、导管头、胸腹水细菌培养+药敏,,
7572,Y00000018400,必洛斯片*#,8mg*7片,口服
7585,Y00000019877,丁苯酞氯化钠注射液,100ml丁苯酞25mg与氯化钠0.9g,静脉滴注
7587,Y00000008371,芥子(黄芥子),5g.10g ,自煎
7589,Y00000018174,洁维乐凝胶**,20g*4,口服
7596,Y00000019944,润坦注射液 ,2ml:10mg*6        ,静脉滴注
7602,Y00000019888,邦亭针@,0.5KU*5,肌肉注射
7611,19284,临床操作的CT引导,,
7614,16105,血培养(需氧)及鉴定,,
7627,F00002206519,拔倒睫,,
7636,17956,万古霉素血清药物浓度测定,,
7637,Y00000018784,去乙酰毛花苷注射液#,2ml:0.4mg*5支,静脉注射
7651,Y00000000973,新朗欧针,1g,静脉滴注
7654,19526,血浆脂蛋白相关磷脂酶A2(LP-PLA2),,
7667,F00002204419,中心静脉测压,,
7693,Y00000019694,复方磺胺甲噁唑片,60片,口服
7705,17906,结核杆菌抗体检测,,
7723,Y00000007C53,紫苏子颗粒一方,相当于饮片10G,冲服
7829,Y00000003096,贯新克溶液,25ml,漱口
7835,Y00000018313,波利特肠溶片*,10mg*7片,口服
7885,Y00000008370,莱菔子(单味自费),10g.15g ,煎服
7891,Y00000007A40,法夏颗粒一方,相当于饮片9g,冲服
7964,F00002204454,冰袋降温,包括冰帽降温,
7972,F00002213955,一次性口腔器械盘（口腔）,,
8083,21170,高血压三项（卧位）,,
8134,Y00000000045,苯海拉明注射液,20mg*10,肌肉注射
8174,Y00000020198,兰索拉唑肠溶胶囊(四川)#,30mg*7,口服
8178,Y00000018197,特比澳注射液G,15000U:1ml,皮下注射
8225,Y00000000528,维生素C注射液 #,2ml:500mg*10,静脉滴注
8228,Y00000018158,乙酰半胱氨酸颗粒(消坦立),0.2g*10袋,口服
8231,F00002204468,灌肠(一般灌肠),,
8272,Y00000007D41,山萸肉颗粒一方,相当于饮片10g,冲服
8295,F00002208410,麻醉中监测7项以内,,
8316,Y00000001532,斯皮仁诺胶囊*,100mg*14,口服
8357,F00002225114,鼻胃肠管PUR型/佰通,,
8365,F00002225174,耐药三通(贝朗),,
8366,Y00000018191,恩经复针,18ug(≥9000AU),肌肉注射
8403,Y00000000453,香菇多糖注射液(力提能)&,1mg:2ml,静脉滴注
8411,Y00000007B10,苇茎颗粒一方,相当于饮片15G,冲服
8426,Y00000019554,注射用间苯三酚,40mg,静脉滴注
8445,Y00000020115,苄星青霉素针(华北),120万u,肌肉注射
8462,17098,梅毒血清二项检测,,
8463,Y00000019971,福美加片*,70mg:5600IU,口服
8470,F00002228655,预冲式冲管注射器5ml（导管冲洗器）/山东威高,,静脉注射
8480,F00000180151,中心静脉套件（导管固定装置）,,
8483,Y00000002028,石蜡油,10ml        ,外用
8524,Y00000005181,甘油500g,500g,灌肠
8549,F00002211957,电按摩,,
8575,22286,免疫球蛋白亚类IgG4定量测定,,
8599,17303,妇科彩超,,
8644,22086,同型半胱氨酸,,
8682,19124,（呼吸科）过敏原皮肤点刺试验,,
8699,Y00000001318,乐息平片**#,4mg*7,口服
8742,Y00000019541,欣络平片,5mg*28片,口服
8746,Y00000001292,开思亭片**,10mg*10,口服
8750,Y00000019870,复方氯化钠注射液(袋装)(石家庄)&#,500ml,静脉滴注
8794,Y00000001957,地恒赛片,5mg*6,口服
8803,Y00000008632,厚朴,10g.15g ,煎服
8805,F00002207455,骨髓活检术,,
8815,17088,肾功六项,,
8816,Y00000019875,奥拉西坦针(欧来宁),1.0g*4,静脉滴注
8828,Y00000007E22,细辛颗粒一方,相当于饮片3G,自煎
8864,17045,自身抗体定量六项,,
8901,Y00000000240,10%康莱特注射液&,10%*100ml,静脉滴注
8909,Y00000008358,菟丝子,10g.15g ,煎服
8920,18238,EB病毒核酸定量检测(EBV-DNA),,
8933,F00002203099,无菌旋塞延长管（艾贝尔）,,微泵静注
8944,F00002204282,门急诊留观诊查费,,
8953,F00002204384,高流量给氧,,
8984,Y00000018818,新活素针,0.5mg,微泵静注
9004,17862,血糖（空腹）,,
9038,Y00000001333,美卡素片**#,80mg*7,口服
9054,F00002205001,右心声学造影,,
9074,Y00000000190,人血免疫球蛋白(蓉生静丙)*,2.5g:50ml,静脉滴注
9081,17444,头部CT平扫（只有横断图像）,,
9148,Y00000007B40,地榆颗粒一方,相当于饮片10g,冲服
9182,17372,颈椎MRI平扫,,
9251,Y00000001331,美多芭片*#,250mg*40,鼻饲
9332,F00002218338,一次性胰岛素注射器（328420）1ML 29G U-40,,皮下注射
9354,Y00000018859,银杏酮酯滴丸@#(中药房)(银滴速通),25mg*120丸,口服
9365,Y00000019624,番泻叶*,5g.10g/包,冲服
9386,16176,嗜酸性粒细胞计数+病房血细胞分析（五分类）,,
9419,17120,尿沉渣涂片找细菌三项,,
9437,F00002206302,肌电图,,
9490,Y00000007G33,紫河车颗粒一方(自费）,相当于饮片3g,冲服
9549,F00002225194,无针输液接头(贝朗),,
9556,Y00000007C31,火麻仁颗粒一方(单味自费),相当于饮片10G,冲服
9590,Y00000019868,丙氨酰谷氨酰胺针(安吉驰),50ml:10g,静脉滴注(肠外)
9618,16508,乳腺数字化摄影(双侧),,
9647,Y00000001357,美普清片 #,25ug*20,口服
9664,F00002218648,精密泵用输液管路（输液器）/费森尤斯VS10,,静脉滴注
9702,Y00000018763,达己苏胶浆,10ml*12支,口服
9714,F00002205530,钠测定(火焰分光光度法或离子选择电极法),,
9760,F00002220342,肺功能康复训练,,
9792,F00002233722,创面促愈处理300（10cm以下/伤口需要清创/包含糖尿病足）,,
9801,Y00000002189,雷诺考特鼻喷雾剂**#,64ug*120喷,喷鼻
9803,F00000181392,输液器（百特输液泵管）,,静脉滴注(肠外)
9811,Y00000007C05,大腹皮颗粒一方,相当于饮片10G,冲服
9827,Y00000019984,18AA-II针(辰欣)#,250ml:21.25g,静脉滴注
9835,Y00000019650,头孢泊肟酯片(海凌依)#,100mg*12片,口服
9842,F00002220391,经颅磁刺激的脑功能循环治疗,,
9846,Y00000019660,万适宁片&,0.4g*8片,口服
